step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
139,56268,556,0.02754041391675704,0.5,0.5,,,,,
140,56688,560,0.0312713503964991,0.5,0.5,,,,,
141,57140,564,0.028233916744412967,0.5,0.5,,,,,
142,57560,568,0.028438546065584398,0.75,0.75,,,,,
143,58012,572,0.018486357589997136,0.75,0.75,,,,,
144,58432,576,0.03797070236083878,0.25,0.25,,,,,
145,58852,580,0.0330541556320229,0.5,0.5,0.029484346514779342,0.25,0.25,,
146,59240,584,0.03651975413821996,0.25,0.25,,,,,
147,59532,588,0.03550220935565853,0.5,0.5,,,,,
148,59952,592,0.026519189710148,0.75,0.75,,,,,
149,60372,596,0.03306070942764214,0.5,0.5,,,,,
150,60632,600,0.03344540595678268,0.5,0.5,,,,,
151,61084,604,0.030408362056735343,0.25,0.25,,,,,
152,61312,608,0.05267199863514407,0.25,0.25,,,,,
153,61668,612,0.028688902089611067,0.5,0.5,0.03866875372235029,0.25,0.25,,
154,62120,616,0.032951100478369424,0.5,0.5,,,,,
155,62540,620,0.029714439295684177,0.25,0.25,,,,,
156,62960,624,0.03249893303262193,0.25,0.25,,,,,
157,63508,628,0.022786328060333826,0.5,0.5,,,,,
158,63800,632,0.03714373096059351,0.5,0.5,,,,,
159,64220,636,0.024354075525881085,0.5,0.5,,,,,
160,64672,640,0.024210733736752477,0.75,0.75,,,,,
161,65028,644,0.03664210315011174,0.0,0.0,0.027067561751804043,0.25,0.25,,
162,65416,648,0.03115575333239823,0.5,0.5,,,,,
163,65868,652,0.031642683012217385,0.5,0.5,,,,,
164,66224,656,0.029129240523310184,0.5,0.5,,,,,
165,66676,660,0.031151133258231958,0.25,0.25,,,,,
166,67096,664,0.03653766927366842,0.25,0.25,,,,,
167,67580,668,0.01980437011275035,0.5,0.5,,,,,
168,67840,672,0.04700572497369507,0.25,0.25,,,,,
169,68228,676,0.03166775788670615,0.25,0.25,0.04136289477769879,0.0,0.0,,
170,68680,680,0.037121440829472885,0.0,0.0,,,,,
171,69004,684,0.03475213301995655,0.25,0.25,,,,,
172,69360,688,0.02731430617899191,0.5,0.5,,,,,
173,69780,692,0.028181515881543735,0.5,0.5,,,,,
174,70232,696,0.028269215911508598,0.0,0.0,,,,,
175,70620,700,0.026281194382304418,0.25,0.25,,,,,
176,71072,704,0.03425161217462772,0.25,0.25,,,,,
177,71460,708,0.02558534982486757,0.5,0.5,0.03209774117644739,0.25,0.25,,
178,71912,712,0.02890735377731484,0.75,0.75,,,,,
179,72332,716,0.036724070976446824,0.0,0.0,,,,,
180,72752,720,0.02687297168385105,0.5,0.5,,,,,
181,73172,724,0.031250258362707305,0.25,0.25,,,,,
182,73432,728,0.03535919506500363,0.75,0.75,,,,,
183,73852,732,0.03341273152118989,0.25,0.25,,,,,
184,74176,736,0.03876634861992374,0.0,0.0,,,,,
185,74468,740,0.03528127860403199,0.75,0.75,0.036191037035528666,0.25,0.25,,
186,74920,744,0.03787299996273435,0.0,0.0,,,,,
187,75244,748,0.031094763414799675,0.0,0.0,,,,,
188,75504,752,0.042660112365385604,0.5,0.5,,,,,
189,75892,756,0.02592683396093283,0.5,0.5,,,,,
190,76216,760,0.03194154996821817,0.25,0.25,,,,,
191,76604,764,0.03159897839139091,0.5,0.5,,,,,
192,76992,768,0.03432495495775143,0.25,0.25,,,,,
193,77348,772,0.03600490018675662,0.5,0.5,0.03523666839911874,0.0,0.0,,
194,77736,776,0.02566570515936789,0.75,0.75,,,,,
195,78156,780,0.0348316421732198,0.25,0.25,,,,,
196,78544,784,0.030238679990629486,0.5,0.5,,,,,
197,78900,788,0.03625238993303304,0.25,0.25,,,,,
198,79320,792,0.033513418755040825,0.25,0.25,,,,,
199,79772,796,0.030796536774069686,0.5,0.5,,,,,
200,80128,800,0.032554291666677025,0.5,0.5,,,,,
201,80516,804,0.03852324786216438,0.25,0.25,0.03040631370649044,0.25,0.25,,
202,80968,808,0.028856882503672767,0.5,0.5,,,,,
203,81324,812,0.03128170698531614,0.5,0.5,,,,,
204,81712,816,0.03152360092434597,0.5,0.5,,,,,
205,82100,820,0.02900141359810666,0.25,0.25,,,,,
206,82488,824,0.02500025309352118,0.75,0.75,,,,,
207,82940,828,0.028361689815445013,1.0,1.0,,,,,
208,83360,832,0.02928987918884585,0.25,0.25,,,,,
209,83780,836,0.029537368105246133,0.5,0.5,0.0303431905028295,0.5,0.5,,
210,84168,840,0.03219214914766383,0.25,0.25,,,,,
211,84588,844,0.031179814224536116,0.5,0.5,,,,,
212,85008,848,0.025677935384648243,0.75,0.75,,,,,
213,85428,852,0.026127967115530913,0.5,0.5,,,,,
214,85912,856,0.028294833825124138,0.25,0.25,,,,,
215,86300,860,0.033468071449242416,0.25,0.25,,,,,
216,86752,864,0.02137183368642111,0.25,0.25,,,,,
217,87108,868,0.031816434095836406,0.5,0.5,0.030429991748976575,0.5,0.5,,
218,87496,872,0.02543217176584146,0.75,0.75,,,,,
219,87884,876,0.03288580133122574,0.25,0.25,,,,,
220,88272,880,0.024698520619102927,0.25,0.25,,,,,
221,88660,884,0.035688936352681826,0.25,0.25,,,,,
222,89080,888,0.026998004220523193,0.75,0.75,,,,,
223,89500,892,0.03029761803410591,0.75,0.75,,,,,
224,89888,896,0.02946374963663402,0.5,0.5,,,,,
225,90308,900,0.041397608453266295,0.0,0.0,0.026496768510855192,0.25,0.25,,
226,90696,904,0.029757592123980315,0.25,0.25,,,,,
227,91084,908,0.031733641155256294,0.5,0.5,,,,,
228,91344,912,0.0313043027825961,0.5,0.5,,,,,
229,91764,916,0.03269933971187233,0.5,0.5,,,,,
230,92248,920,0.03347597471244027,0.25,0.25,,,,,
231,92668,924,0.03977490007210725,0.25,0.25,,,,,
232,92896,928,0.05966624904675751,0.0,0.0,,,,,
233,93316,932,0.02980907835055667,0.5,0.5,0.025758853746416597,0.25,0.25,,
234,93736,936,0.02562020367436593,0.25,0.25,,,,,
235,94156,940,0.027624645345563557,0.25,0.25,,,,,
236,94544,944,0.03741620267798417,0.0,0.0,,,,,
